,data_ymd,docID,edinetCode,secCode,filerName,docDescription,disclosureStatus,xbrlFlag
0,2014-07-01,S1002FSL,E02486,,株式会社オプトロム,有価証券報告書－第28期(平成25年4月1日－平成26年3月31日),0,1
1,2014-07-01,S1002G3A,E00597,,グローバルアジアホールディングス株式会社,有価証券報告書－第69期(平成25年4月1日－平成26年3月31日),0,1
2,2014-07-01,S1002FOO,E05954,,トヨタ　ファイナンス　オーストラリア　リミテッド,有価証券報告書,0,0
3,2014-07-10,S1002GST,E02843,74880,株式会社ヤガミ,有価証券報告書－第49期(平成25年4月21日－平成26年4月20日),0,1
4,2014-07-10,S1002HNA,E05070,47500,株式会社ダイサン,有価証券報告書－第40期(平成25年4月21日－平成26年4月20日),0,1
5,2014-07-18,S1002JQ2,E30763,,ＮＴＬファイナンス合同会社,有価証券報告書（内国資産流動化証券）－第5期(平成25年3月1日－平成26年2月28日),0,1
6,2014-07-18,S1002ISD,E00763,40260,神島化学工業株式会社,有価証券報告書－第98期(平成25年5月1日－平成26年4月30日),0,1
7,2014-07-24,S1002KH1,E00715,79010,株式会社マツモト,有価証券報告書－第26期(平成25年5月1日－平成26年4月30日),0,1
8,2014-07-24,S1002KJ2,E03326,76230,株式会社サンオータス,有価証券報告書－第63期(平成25年5月1日－平成26年4月30日),0,1
9,2014-07-24,S1002KSN,E02953,27510,株式会社テンポスホールディングス,有価証券報告書－第22期(平成25年5月1日－平成26年4月30日),0,1
10,2014-07-25,S1002L07,E05137,94440,株式会社トーシンホールディングス,有価証券報告書－第28期(平成25年5月1日－平成26年4月30日),0,1
11,2014-07-25,S1002KO7,E22016,34440,株式会社菊池製作所,有価証券報告書－第39期(平成25年5月1日－平成26年4月30日),0,1
12,2014-07-25,S1002KIZ,E23829,66300,ヤーマン株式会社,有価証券報告書－第40期(平成25年5月1日－平成26年4月30日),0,1
13,2014-07-25,S1002KYA,E03433,,株式会社メガネスーパー,有価証券報告書－第38期(平成25年5月1日－平成26年4月30日),0,1
14,2014-07-25,S1002KSK,E04732,,株式会社涼仙,有価証券報告書－第12期(平成25年5月1日－平成26年4月30日),0,1
15,2014-07-25,S1002KZ7,E00578,35240,日東製網株式会社,有価証券報告書－第113期(平成25年5月1日－平成26年4月30日),0,1
